respondent_id,question_id,ground_truth
R001,q1_would_subscribe,2
R001,q2_subscription_likelihood,3
R001,q3_platform_trust,5
R001,q4_price_preference,5
R001,q5_recommend,1
R001,q6_feature_importance,2
R002,q1_would_subscribe,2
R002,q2_subscription_likelihood,5
R002,q3_platform_trust,3
R002,q4_price_preference,4
R002,q5_recommend,2
R002,q6_feature_importance,3
R003,q1_would_subscribe,1
R003,q2_subscription_likelihood,2
R003,q3_platform_trust,4
R003,q4_price_preference,5
R003,q5_recommend,2
R003,q6_feature_importance,3
R004,q1_would_subscribe,2
R004,q2_subscription_likelihood,3
R004,q3_platform_trust,5
R004,q4_price_preference,5
R004,q5_recommend,2
R004,q6_feature_importance,3
R005,q1_would_subscribe,1
R005,q2_subscription_likelihood,4
R005,q3_platform_trust,1
R005,q4_price_preference,3
R005,q5_recommend,2
R005,q6_feature_importance,1
R006,q1_would_subscribe,2
R006,q2_subscription_likelihood,4
R006,q3_platform_trust,3
R006,q4_price_preference,4
R006,q5_recommend,1
R006,q6_feature_importance,5
R007,q1_would_subscribe,2
R007,q2_subscription_likelihood,2
R007,q3_platform_trust,7
R007,q4_price_preference,4
R007,q5_recommend,2
R007,q6_feature_importance,4
R008,q1_would_subscribe,2
R008,q2_subscription_likelihood,1
R008,q3_platform_trust,4
R008,q4_price_preference,4
R008,q5_recommend,2
R008,q6_feature_importance,3
R009,q1_would_subscribe,2
R009,q2_subscription_likelihood,5
R009,q3_platform_trust,7
R009,q4_price_preference,5
R009,q5_recommend,2
R009,q6_feature_importance,4
R010,q1_would_subscribe,2
R010,q2_subscription_likelihood,3
R010,q3_platform_trust,4
R010,q4_price_preference,3
R010,q5_recommend,1
R010,q6_feature_importance,4
R011,q1_would_subscribe,2
R011,q2_subscription_likelihood,4
R011,q3_platform_trust,6
R011,q4_price_preference,2
R011,q5_recommend,2
R011,q6_feature_importance,5
R012,q1_would_subscribe,2
R012,q2_subscription_likelihood,4
R012,q3_platform_trust,5
R012,q4_price_preference,3
R012,q5_recommend,2
R012,q6_feature_importance,3
R013,q1_would_subscribe,1
R013,q2_subscription_likelihood,5
R013,q3_platform_trust,7
R013,q4_price_preference,4
R013,q5_recommend,2
R013,q6_feature_importance,3
R014,q1_would_subscribe,1
R014,q2_subscription_likelihood,2
R014,q3_platform_trust,3
R014,q4_price_preference,1
R014,q5_recommend,1
R014,q6_feature_importance,5
R015,q1_would_subscribe,2
R015,q2_subscription_likelihood,3
R015,q3_platform_trust,7
R015,q4_price_preference,5
R015,q5_recommend,2
R015,q6_feature_importance,4
R016,q1_would_subscribe,1
R016,q2_subscription_likelihood,1
R016,q3_platform_trust,1
R016,q4_price_preference,1
R016,q5_recommend,1
R016,q6_feature_importance,3
R017,q1_would_subscribe,2
R017,q2_subscription_likelihood,4
R017,q3_platform_trust,4
R017,q4_price_preference,5
R017,q5_recommend,2
R017,q6_feature_importance,5
R018,q1_would_subscribe,1
R018,q2_subscription_likelihood,1
R018,q3_platform_trust,3
R018,q4_price_preference,4
R018,q5_recommend,1
R018,q6_feature_importance,5
R019,q1_would_subscribe,2
R019,q2_subscription_likelihood,3
R019,q3_platform_trust,2
R019,q4_price_preference,3
R019,q5_recommend,2
R019,q6_feature_importance,5
R020,q1_would_subscribe,2
R020,q2_subscription_likelihood,4
R020,q3_platform_trust,6
R020,q4_price_preference,3
R020,q5_recommend,2
R020,q6_feature_importance,5
R021,q1_would_subscribe,2
R021,q2_subscription_likelihood,5
R021,q3_platform_trust,6
R021,q4_price_preference,1
R021,q5_recommend,2
R021,q6_feature_importance,4
R022,q1_would_subscribe,1
R022,q2_subscription_likelihood,2
R022,q3_platform_trust,3
R022,q4_price_preference,2
R022,q5_recommend,1
R022,q6_feature_importance,1
R023,q1_would_subscribe,2
R023,q2_subscription_likelihood,1
R023,q3_platform_trust,1
R023,q4_price_preference,1
R023,q5_recommend,1
R023,q6_feature_importance,5
R024,q1_would_subscribe,2
R024,q2_subscription_likelihood,5
R024,q3_platform_trust,3
R024,q4_price_preference,5
R024,q5_recommend,2
R024,q6_feature_importance,3
R025,q1_would_subscribe,2
R025,q2_subscription_likelihood,1
R025,q3_platform_trust,7
R025,q4_price_preference,2
R025,q5_recommend,1
R025,q6_feature_importance,2
R026,q1_would_subscribe,1
R026,q2_subscription_likelihood,4
R026,q3_platform_trust,6
R026,q4_price_preference,5
R026,q5_recommend,2
R026,q6_feature_importance,3
R027,q1_would_subscribe,2
R027,q2_subscription_likelihood,4
R027,q3_platform_trust,5
