respondent_id,question_id,ground_truth,category,gender,age_group,persona_group,occupation
R001,purchase_intent,2,general,Female,25-34,Busy Professionals,Professional
R001,value_for_money,1,general,Female,25-34,Busy Professionals,Professional
R001,likeability,2,general,Female,25-34,Busy Professionals,Professional
R001,uniqueness,3,general,Female,25-34,Busy Professionals,Professional
R001,relevance,1,general,Female,25-34,Busy Professionals,Professional
R001,recommendation,1,general,Female,25-34,Busy Professionals,Professional
R001,current_meal_kit_user,1,general,Female,25-34,Busy Professionals,Professional
R001,most_important_feature,4,general,Female,25-34,Busy Professionals,Professional
R002,purchase_intent,1,general,Male,25-34,Busy Professionals,Professional
R002,value_for_money,2,general,Male,25-34,Busy Professionals,Professional
R002,likeability,5,general,Male,25-34,Busy Professionals,Professional
R002,uniqueness,1,general,Male,25-34,Busy Professionals,Professional
R002,relevance,1,general,Male,25-34,Busy Professionals,Professional
R002,recommendation,1,general,Male,25-34,Busy Professionals,Professional
R002,current_meal_kit_user,1,general,Male,25-34,Busy Professionals,Professional
R002,most_important_feature,6,general,Male,25-34,Busy Professionals,Professional
R003,purchase_intent,3,general,Male,25-34,Busy Professionals,Manager
R003,value_for_money,1,general,Male,25-34,Busy Professionals,Manager
R003,likeability,4,general,Male,25-34,Busy Professionals,Manager
R003,uniqueness,1,general,Male,25-34,Busy Professionals,Manager
R003,relevance,2,general,Male,25-34,Busy Professionals,Manager
R003,recommendation,4,general,Male,25-34,Busy Professionals,Manager
R003,current_meal_kit_user,2,general,Male,25-34,Busy Professionals,Manager
R003,most_important_feature,1,general,Male,25-34,Busy Professionals,Manager
R004,purchase_intent,1,general,Male,25-34,Busy Professionals,Technical
R004,value_for_money,2,general,Male,25-34,Busy Professionals,Technical
R004,likeability,1,general,Male,25-34,Busy Professionals,Technical
R004,uniqueness,1,general,Male,25-34,Busy Professionals,Technical
R004,relevance,3,general,Male,25-34,Busy Professionals,Technical
R004,recommendation,1,general,Male,25-34,Busy Professionals,Technical
R004,current_meal_kit_user,1,general,Male,25-34,Busy Professionals,Technical
R004,most_important_feature,2,general,Male,25-34,Busy Professionals,Technical
R005,purchase_intent,1,general,Female,35-44,Busy Professionals,Professional
R005,value_for_money,2,general,Female,35-44,Busy Professionals,Professional
R005,likeability,1,general,Female,35-44,Busy Professionals,Professional
R005,uniqueness,4,general,Female,35-44,Busy Professionals,Professional
R005,relevance,5,general,Female,35-44,Busy Professionals,Professional
R005,recommendation,1,general,Female,35-44,Busy Professionals,Professional
R005,current_meal_kit_user,2,general,Female,35-44,Busy Professionals,Professional
R005,most_important_feature,2,general,Female,35-44,Busy Professionals,Professional
R006,purchase_intent,3,general,Female,35-44,Busy Professionals,Manager
R006,value_for_money,2,general,Female,35-44,Busy Professionals,Manager
R006,likeability,3,general,Female,35-44,Busy Professionals,Manager
R006,uniqueness,1,general,Female,35-44,Busy Professionals,Manager
R006,relevance,1,general,Female,35-44,Busy Professionals,Manager
R006,recommendation,2,general,Female,35-44,Busy Professionals,Manager
R006,current_meal_kit_user,1,general,Female,35-44,Busy Professionals,Manager
R006,most_important_feature,1,general,Female,35-44,Busy Professionals,Manager
R007,purchase_intent,2,general,Male,25-34,Busy Professionals,Technical
R007,value_for_money,5,general,Male,25-34,Busy Professionals,Technical
R007,likeability,7,general,Male,25-34,Busy Professionals,Technical
R007,uniqueness,5,general,Male,25-34,Busy Professionals,Technical
R007,relevance,2,general,Male,25-34,Busy Professionals,Technical
R007,recommendation,3,general,Male,25-34,Busy Professionals,Technical
R007,current_meal_kit_user,1,general,Male,25-34,Busy Professionals,Technical
R007,most_important_feature,3,general,Male,25-34,Busy Professionals,Technical
R008,purchase_intent,1,general,Male,25-34,Busy Professionals,Manager
R008,value_for_money,1,general,Male,25-34,Busy Professionals,Manager
R008,likeability,1,general,Male,25-34,Busy Professionals,Manager
R008,uniqueness,2,general,Male,25-34,Busy Professionals,Manager
R008,relevance,2,general,Male,25-34,Busy Professionals,Manager
R008,recommendation,2,general,Male,25-34,Busy Professionals,Manager
R008,current_meal_kit_user,1,general,Male,25-34,Busy Professionals,Manager
R008,most_important_feature,1,general,Male,25-34,Busy Professionals,Manager
