respondent_id,question_id,ground_truth,category,gender,age_group,persona_group,occupation
R001,sub_purchase_intent,4,subscription_service,Male,25-34,Premium Content Seekers,Professional
R001,sub_value,3,subscription_service,Male,25-34,Premium Content Seekers,Professional
R001,sub_satisfaction,4,subscription_service,Male,25-34,Premium Content Seekers,Professional
R001,sub_recommendation,5,subscription_service,Male,25-34,Premium Content Seekers,Professional
R001,ad_purchase_intent,1,ad_supported_service,Male,25-34,Premium Content Seekers,Professional
R001,ad_value,2,ad_supported_service,Male,25-34,Premium Content Seekers,Professional
R001,ad_satisfaction,5,ad_supported_service,Male,25-34,Premium Content Seekers,Professional
R001,ad_recommendation,5,ad_supported_service,Male,25-34,Premium Content Seekers,Professional
R001,service_preference,3,comparison,Male,25-34,Premium Content Seekers,Professional
R001,willingness_to_pay,6,comparison,Male,25-34,Premium Content Seekers,Professional
R002,sub_purchase_intent,5,subscription_service,Male,35-44,Premium Content Seekers,Technical
R002,sub_value,3,subscription_service,Male,35-44,Premium Content Seekers,Technical
R002,sub_satisfaction,3,subscription_service,Male,35-44,Premium Content Seekers,Technical
R002,sub_recommendation,2,subscription_service,Male,35-44,Premium Content Seekers,Technical
R002,ad_purchase_intent,3,ad_supported_service,Male,35-44,Premium Content Seekers,Technical
R002,ad_value,5,ad_supported_service,Male,35-44,Premium Content Seekers,Technical
R002,ad_satisfaction,5,ad_supported_service,Male,35-44,Premium Content Seekers,Technical
R002,ad_recommendation,3,ad_supported_service,Male,35-44,Premium Content Seekers,Technical
R002,service_preference,7,comparison,Male,35-44,Premium Content Seekers,Technical
R002,willingness_to_pay,4,comparison,Male,35-44,Premium Content Seekers,Technical
R003,sub_purchase_intent,3,subscription_service,Female,25-34,Premium Content Seekers,Manager
R003,sub_value,5,subscription_service,Female,25-34,Premium Content Seekers,Manager
R003,sub_satisfaction,5,subscription_service,Female,25-34,Premium Content Seekers,Manager
R003,sub_recommendation,2,subscription_service,Female,25-34,Premium Content Seekers,Manager
R003,ad_purchase_intent,1,ad_supported_service,Female,25-34,Premium Content Seekers,Manager
R003,ad_value,2,ad_supported_service,Female,25-34,Premium Content Seekers,Manager
R003,ad_satisfaction,1,ad_supported_service,Female,25-34,Premium Content Seekers,Manager
R003,ad_recommendation,2,ad_supported_service,Female,25-34,Premium Content Seekers,Manager
R003,service_preference,6,comparison,Female,25-34,Premium Content Seekers,Manager
R003,willingness_to_pay,1,comparison,Female,25-34,Premium Content Seekers,Manager
R004,sub_purchase_intent,4,subscription_service,Male,25-34,Premium Content Seekers,Technical
R004,sub_value,4,subscription_service,Male,25-34,Premium Content Seekers,Technical
R004,sub_satisfaction,2,subscription_service,Male,25-34,Premium Content Seekers,Technical
R004,sub_recommendation,4,subscription_service,Male,25-34,Premium Content Seekers,Technical
R004,ad_purchase_intent,1,ad_supported_service,Male,25-34,Premium Content Seekers,Technical
R004,ad_value,5,ad_supported_service,Male,25-34,Premium Content Seekers,Technical
R004,ad_satisfaction,5,ad_supported_service,Male,25-34,Premium Content Seekers,Technical
R004,ad_recommendation,2,ad_supported_service,Male,25-34,Premium Content Seekers,Technical
R004,service_preference,7,comparison,Male,25-34,Premium Content Seekers,Technical
R004,willingness_to_pay,6,comparison,Male,25-34,Premium Content Seekers,Technical
R005,sub_purchase_intent,3,subscription_service,Female,25-34,Premium Content Seekers,Technical
R005,sub_value,2,subscription_service,Female,25-34,Premium Content Seekers,Technical
R005,sub_satisfaction,2,subscription_service,Female,25-34,Premium Content Seekers,Technical
R005,sub_recommendation,1,subscription_service,Female,25-34,Premium Content Seekers,Technical
R005,ad_purchase_intent,1,ad_supported_service,Female,25-34,Premium Content Seekers,Technical
R005,ad_value,2,ad_supported_service,Female,25-34,Premium Content Seekers,Technical
R005,ad_satisfaction,3,ad_supported_service,Female,25-34,Premium Content Seekers,Technical
